short_name, code, full_name
Anglia Ruskin, ARU, Anglia Ruskin University
Arts London, ART, University of the Arts London
Aston, AST, Aston University
Bangor, BAN, Bangor University
Bath, BAT, University of Bath
Birmingham, BIR, University of Birmingham
Birmingham City, BIC, Birmingham City University
Bolton, BOL, University of Bolton
Brighton, BRI, University of Brighton
Bristol, BRS, University of Bristol
Brunel, BRU, Brunel University of London
Cambridge, CAM, University of Cambridge
Cardiff, CAR, Cardiff University
City, CIT, "City St George's, University of London"
Derby, DER, University of Derby
Durham, DUR, Durham University
East Anglia, UEA, University of East Anglia
East London, UEL, University of East London
Edinburgh, EID, University of Edinburgh
Essex, ESS, University of Essex
Exeter, EXE, University of Exeter
Glasgow, GLS, University of Glasgow
Greenwich, GRE, University of Greenwich
Hull, HUL, University of Hull
Imperial, IMP, Imperial College London
Keele, KEE, Keele University
Kent, KEN, University of Kent
Kings college, KCL, King's College London
Lancaster, LAN, Lancaster University
Leeds, LEE, University of Leeds
Leicester, LEI, University of Leicester
London South Bank, LSB, London South Bank University
Loughborough, LOU, Loughborough University
LSE, LSE, London School of Economics and Political Science
Manchester, MAN, The University of Manchester
Manchester Met, MMU, Manchester Metropolitan University
Middlesex, MID, Middlesex University London
Newcastle, NEW, Newcastle University
Nottingham, NOT, University of Nottingham
Nottingham Trent, NTU, Nottingham Trent University
Oxford, OXF, University of Oxford
Oxford Brookes, OXB, Oxford Brookes University
Plymouth, PLY, University of Plymouth
Portsmouth, POR, University of Portsmouth
Queen Mary, QMY, Queen Mary University
Queens, QUB, Queen's University Belfast
Reading, REA, University of Reading
Sheffield, SHE, University of Sheffield
Sheffield Hallam, HAL, Sheffield Hallam University
Southampton, SOU, University of Southampton
Strathclyde, STR, University of Strathclyde
Swansea, SWA, Swansea University
UCL, UCL, University College London
UCLan, CLAN, University of Lancashire
UWE, UWE, University of the West of England
Warwick, WAR, University of Warwick
York, YOR, University of York